name,dob,gender,address,first_release_year,no_of_albums_released,user_id
Taylor Swift,1989-12-13,f,"Nashville, Tennessee",2006,10,3
Ed Sheeran,1991-02-17,m,"Halifax, West Yorkshire",2011,5,5
Ariana Grande,1993-06-26,f,"Boca Raton, Florida",2008,7,2
Drake,1986-10-24,m,"Toronto, Ontario",2006,8,4
Billie Eilish,2001-12-18,f,"Los Angeles, California",2015,3,1
Justin Bieber,1994-03-01,m,"London, Ontario",2008,6,2
Rihanna,1988-02-20,f,"Saint Michael, Barbados",2005,9,3
Bruno Mars,1985-10-08,m,"Honolulu, Hawaii",2004,8,3
Adele,1988-05-05,f,"Tottenham, London",2006,4,1
The Weeknd,1990-02-16,m,"Toronto, Ontario",2010,5,2
Dua Lipa,1995-08-22,f,"London, England",2015,3,1
Shawn Mendes,1998-08-08,m,"Pickering, Ontario",2013,4,1
Katy Perry,1984-10-25,f,"Santa Barbara, California",2001,6,3
Post Malone,1995-07-04,m,"Syracuse, New York",2013,4,2
Selena Gomez,1992-07-22,f,"Grand Prairie, Texas",2008,7,2
Harry Styles,1994-02-01,m,"Redditch, Worcestershire",2010,3,1
Lady Gaga,1986-03-28,f,"New York City, New York",2005,6,3
Edgar Barrera,1990-04-01,m,"McAllen, Texas",2011,2,1
Olivia Rodrigo,2003-02-20,f,"Murrieta, California",2015,2,1
Sam Smith,1992-05-19,m,"London, England",2007,4,1
Halsey,1994-09-29,f,"Edison, New Jersey",2012,3,1
Charlie Puth,1991-12-02,m,"Rumson, New Jersey",2009,3,1
